"resource_id","iam_principal","service","charge_type","region","tag_project","tag_owner","tag_name","tag_cluster","cost_usd"
"arn:aws:ec2:ap-southeast-1:123456789012:vpc-endpoint/vpce-063b54933f681e258","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","secretManager-for-flink","-","22.970999999999897"
"arn:aws:ec2:ap-southeast-1:123456789012:vpc-endpoint/vpce-0dc839e5fc18736fd","(no principal)","AmazonVPC","Usage","ap-southeast-1","-","-","-","-","22.970999999999897"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-sonnet-4-6","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","22.290754050000007"
"(no resource id)","(no principal)","AmazonCloudWatch","Usage","-","-","-","-","-","20.450001720900026"
"vol-0eea252da71d2b620","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","-","-","19.53333331379995"
"arn:aws:logs:ap-southeast-1:123456789012:log-group:/aws/eks/app-lab/cluster","(no principal)","AmazonCloudWatch","Usage","ap-southeast-1","-","-","-","-","19.1119346078"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/us.anthropic.claude-sonnet-4-5-20250929-v1:0","arn:aws:iam::123456789012:user/app-user","AmazonBedrockService","Usage","us-east-1","-","-","-","-","18.03584343"
"arn:aws:bedrock:us-east-1:123456789012:inference-profile/global.anthropic.claude-opus-4-8","arn:aws:sts::123456789012:assumed-role/app-ec2-role/i-aaaa11112222aaaa","AmazonBedrockService","Usage","us-east-1","-","-","-","-","17.87956"
"arn:aws:rds:ap-southeast-1:123456789012:db:weblab-mysql","(no principal)","AmazonRDS","Usage","ap-southeast-1","weblab","-","weblab-mysql","-","17.545833313699923"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/a9d928a38e2c8493f94d796b6376dd2b","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","16.492180161999894"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/gwy/GWLB-Fortinet-01/4d2263c3887b4da1","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","16.491999999999898"
"vol-090225f4203fc5f54","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","-","-","15.62666668619995"
"vol-0f3e0d982d5e0bb9d","(no principal)","AmazonEC2","Usage","ap-southeast-1","-","-","nacos-server","-","15.626666686199945"
"(no resource id)","(no principal)","AmazonCloudWatch","Usage","us-east-1","-","-","-","-","15.169793317700085"
"arn:aws:logs:ap-southeast-1:123456789012:log-group:/aws/lambda/pet-store-PetStoreFunction-YwXsum9ltfg7","(no principal)","AmazonCloudWatch","Usage","ap-southeast-1","-","-","-","-","14.98171993"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/dify-test/8baffbfb5f32b32f","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","dify-testing-alb","-","14.863827944099958"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/alb-lambda-pets/0d8ece8c5fc924da","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","14.85142010189995"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/sensative-api-lb/e88e422565f79d20","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","14.849264494299952"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/weblab-alb/66331874f5a678e3","(no principal)","AWSELB","Usage","ap-southeast-1","weblab","-","weblab-alb","-","14.847119772899951"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/alb-nacos-demo/f1f918ddf697dd72","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","14.84502946339995"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/vpca-alb-protected/a6b67d211296270e","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","14.84370576359995"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/net/dify-test-nlb/dda8741641d95a0f","(no principal)","AWSELB","Usage","ap-southeast-1","-","-","-","-","14.84334054039995"
"arn:aws:elasticloadbalancing:ap-southeast-1:123456789012:loadbalancer/app/app-alb/ea10374a3a233be6","(no principal)","AWSELB","Usage","ap-southeast-1","app","-","app-alb","-","14.843166182799944"
"arn:aws:elasticloadbalancing:us-east-1:123456789012:loadbalancer/a8dd5376aba56423b80a55988f71ebd1","(no principal)","AWSELB","Usage","us-east-1","-","-","-","-","14.725020972600095"
"arn:aws:rds:ap-southeast-1:123456789012:db:my-nexus-demo-db-instance-1","(no principal)","AmazonCloudWatch","Usage","ap-southeast-1","-","-","-","-","14.725000000000074"
"i-042cb7da403e5bd6a","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","app","-","workload","-","14.589004435199985"
"i-0688a3b2ea1536522","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","app","-","workload","-","14.589004435199984"
"i-084d797baaad5eb9c","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","app","-","workload","-","14.58341156479999"
"i-0d535d45775f14161","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","app","-","monitoring","-","14.582001823999985"
"i-00c1b78025465fcee","(no principal)","AmazonEC2","SavingsPlanCoveredUsage","us-west-2","app","-","monitoring","-","14.582001740799985"
